Photometry,Sector,Time,Value
TESS_18_0,All,1410.906996468114,824.1999992650002
TESS_18_0,All,1410.9139409125582,2280.2999999171125
TESS_18_0,All,1410.9208853570026,-6952.099998706765
TESS_18_0,All,1410.927829801447,3737.9999993540346
TESS_18_0,All,1410.9347742458913,503.20000021569433
TESS_18_0,All,1410.9417186903356,-6448.699998925813
TESS_18_0,All,1410.94866313478,9467.899997897446
TESS_18_0,All,1410.9556075792243,-887.5000002549962
TESS_18_0,All,1410.9625520236686,-8637.124998396961
TESS_18_0,All,1410.969496468113,8808.50000047125
TESS_18_0,All,1410.9764409125573,-1949.4999989299104
TESS_18_0,All,1410.9833853570017,-8406.399999075755
TESS_18_0,All,1410.990329801446,12879.299997537397
TESS_18_0,All,1410.9972742458904,2543.249998860527
TESS_18_0,All,1411.0042186903347,-306.375000549946
TESS_18_0,All,1411.011163134779,8840.399998785928
TESS_18_0,All,1411.0181075792234,-7126.399998563155
TESS_18_0,All,1411.0250520236677,1434.899999253638
TESS_18_0,All,1411.031996468112,9903.499998051673
TESS_18_0,All,1411.0389409125564,-10829.299997708202
TESS_18_0,All,1411.0458853570008,-125.74999926728196
TESS_18_0,All,1411.0528298014451,6661.199998240173
TESS_18_0,All,1411.0597742458895,-7324.599998354912
TESS_18_0,All,1411.0667186903338,-3758.3999984581023
TESS_18_0,All,1411.0736631347781,2418.6999991102143
TESS_18_0,All,1411.0806075792225,-1433.8999999670311
TESS_18_0,All,1411.0875520236668,-5254.199998268671
TESS_18_0,All,1411.0944964681112,-1970.899999628961
TESS_18_0,All,1411.1014409125555,2054.799999312684
TESS_18_0,All,1411.1083853569999,-4475.599998816848
TESS_18_0,All,1411.1153298014442,-4772.799998682551
TESS_18_0,All,1411.1222742458885,1994.799999441579
TESS_18_0,All,1411.129218690333,-1583.9999998629094
TESS_18_0,All,1411.1361631347772,-4921.999998592772
TESS_18_0,All,1411.1431075792216,-884.9999995587393
TESS_18_0,All,1411.150052023666,-819.9000000556931
