Photometry,Sector,RV group,Frequency,PSD
TESS_18_0,All,544.4,0.0,2.6921682191246373e-36
TESS_18_0,All,544.4,6.128201984905138,0.00027422309629660744
TESS_18_0,All,544.4,12.256403969810275,4.1726335157970604e-05
TESS_18_0,All,544.4,18.38460595471541,8.758801143493041e-05
TESS_18_0,All,544.4,24.51280793962055,7.15238479833206e-05
TESS_18_0,All,544.4,30.64100992452569,0.0007916044831095011
TESS_18_0,All,544.4,36.76921190943082,9.425648927880356e-05
TESS_18_0,All,544.4,42.89741389433596,0.0003378878345507617
TESS_18_0,All,544.4,49.0256158792411,0.003281569579038129
TESS_18_0,All,544.4,55.15381786414624,0.0028345457396798074
TESS_18_0,All,544.4,61.28201984905138,0.0005695990044429453
TESS_18_0,All,544.4,67.41022183395651,0.0006230832782187437
TESS_18_0,All,544.4,73.53842381886165,0.00024254740213023226
TESS_18_0,All,544.4,79.66662580376679,2.372550734744722e-05
TESS_18_0,All,544.4,85.79482778867192,5.586127060103911e-05
TESS_18_0,All,544.4,91.92302977357707,0.0002211841870150082
TESS_18_0,All,544.4,98.0512317584822,4.581925667188827e-05
TESS_18_0,All,544.4,104.17943374338734,8.317059352752839e-06
TESS_18_0,All,544.4,110.30763572829248,7.451377489716074e-05
TESS_18_0,All,544.4,116.43583771319761,0.0001248946669013693
TESS_18_0,All,544.4,122.56403969810276,5.700088163153485e-05
TESS_18_0,All,544.4,128.6922416830079,4.051587054071407e-05
TESS_18_0,All,544.4,134.82044366791303,4.135984885837387e-05
TESS_18_0,All,544.4,140.94864565281816,9.911002414959168e-06
TESS_18_0,All,544.4,147.0768476377233,7.735979422303725e-06
TESS_18_0,All,544.4,153.20504962262845,5.4764699371375815e-06
TESS_18_0,All,544.4,159.33325160753358,1.620765672500545e-05
TESS_18_0,All,544.4,165.46145359243872,1.9864276506222664e-05
TESS_18_0,All,544.4,171.58965557734385,5.410867789929496e-05
TESS_18_0,All,544.4,177.71785756224898,5.8998775107386635e-06
TESS_18_0,All,544.4,183.84605954715414,3.6677415322876196e-05
TESS_18_0,All,544.4,189.97426153205927,4.882971626655065e-06
TESS_18_0,All,544.4,196.1024635169644,1.8162018984318373e-06
TESS_18_0,All,544.4,202.23066550186954,2.9928501382262543e-06
TESS_18_0,All,544.4,208.35886748677467,1.4052310503862719e-05
TESS_18_0,All,544.4,214.48706947167983,2.7472907249446993e-05
TESS_18_0,All,544.4,220.61527145658496,7.95905667586441e-05
TESS_18_0,All,544.4,226.7434734414901,8.177898643787655e-05
TESS_18_0,All,544.4,232.87167542639523,2.948487554969273e-06
TESS_18_0,All,544.4,238.99987741130036,2.9114301832777806e-05
TESS_18_0,All,544.4,245.12807939620552,2.4023988982923256e-06
