Photometry,Sector,RV group,Time,Value
TESS_18_0,All,544.4,542.5683919999999,0.003410562713145152
TESS_18_0,All,544.4,544.5683920000004,0.0005776970214417844
TESS_18_0,All,544.4,545.5683920000006,0.013622771120724065
TESS_18_0,All,544.4,546.4683920000009,0.009582782311309188
TESS_18_0,All,544.4,546.5683920000008,-0.008921552877256623
TESS_18_0,All,780.71,780.741076,-0.0001221904419276308
TESS_18_0,All,799.71,799.722014,0.0002839709661420946
TESS_18_0,All,829.66,829.673123,-0.0009722540831552571
TESS_18_0,All,851.32,847.6621829999999,0.006950580815869844
TESS_18_0,All,851.32,853.5621830000014,0.0005200249869745727
TESS_18_0,All,851.32,853.6621830000013,-0.005641614427794256
TESS_18_0,All,913.54,913.546212,0.0014035824897736195
TESS_18_0,All,1131.79,1131.770257,-0.0034936253932802974
TESS_18_0,All,1131.79,1131.8702569999998,0.0017699078311098806
TESS_18_0,All,1170.7,1170.722738,-0.0004098533225344773
TESS_18_0,All,1519.79,1519.805025,0.002493896774711311
TESS_18_0,All,1566.7,1565.6830129999998,-0.0046907183556884795
TESS_18_0,All,1566.7,1567.683012999998,0.00816747070633938
TESS_18_0,All,1566.7,1567.783012999998,0.00013341763067327357
TESS_18_0,All,1597.62,1597.6349089999999,0.0006531395492107471
TESS_18_0,All,2569.81,2569.829111,0.0008553993147011211
TESS_18_0,All,2583.88,2580.847364,-0.010996016985436865
TESS_18_0,All,2583.88,2583.8473639999975,-0.0035759963512937633
TESS_18_0,All,2583.88,2584.8473639999966,0.032204280873660694
TESS_18_0,All,2685.7,2685.7240789999996,-0.0003434623801908047
TESS_18_0,All,2694.56,2694.589973,-0.001595230466810088
TESS_18_0,All,2707.08,2706.5785130000004,0.004158862863291796
TESS_18_0,All,2707.08,2707.5785129999995,-0.004913637663352663
TESS_18_0,All,2707.08,2707.678512999999,0.002283852371439316
TESS_18_0,All,2985.24,2980.8728140000003,-0.026826440079666666
TESS_18_0,All,2985.24,2982.8728139999985,0.017182804305223273
TESS_18_0,All,2985.24,2988.672813999993,0.004364214645688162
TESS_18_0,All,2985.24,2988.7728139999926,-0.0158900206515431
TESS_18_0,All,3344.74,3344.782548,-0.0011397947415850056
TESS_18_0,All,3668.0,3666.8528909999995,-0.0017193862650536262
TESS_18_0,All,3668.0,3668.7528909999983,0.0003506535641668833
TESS_18_0,All,3668.0,3668.8528909999977,0.03141526214203036
TESS_18_0,All,3712.63,3711.748544,-1.9118858462869337e-06
TESS_18_0,All,3712.63,3712.6485439999988,0.0016502293640061633
TESS_18_0,All,3712.63,3712.748543999999,0.0014504142536900006
TESS_18_0,All,3712.63,3713.8485439999977,-0.0037112503922687775
TESS_18_0,All,3770.45,3768.5694459999995,-0.0001533902993504334
TESS_18_0,All,3770.45,3768.669446,0.0003590067695711812
TESS_18_0,All,3770.45,3768.7694459999993,0.0013140021441939204
TESS_18_0,All,3770.45,3769.669445999999,-0.0017236727201040275
TESS_18_0,All,3770.45,3769.7694459999984,0.003350876548710801
TESS_18_0,All,3770.45,3770.5694459999977,-0.0015614790344526364
TESS_18_0,All,3770.45,3771.669445999997,0.0062685220123440775
TESS_18_0,All,3770.45,3771.7694459999966,0.009072274004948746
TESS_18_0,All,3770.45,3772.569445999996,-0.0008998019217930925
TESS_18_0,All,3770.45,3772.6694459999962,-0.004814323499578683
TESS_18_0,All,3770.45,3773.6694459999953,-0.0017057302343735806
TESS_18_0,All,3770.45,3774.769445999994,0.0007377644431892996
TESS_18_0,All,3849.51,3849.521702,4.901755867975631e-05
TESS_18_0,All,4007.84,4007.851694,-6.416707728469204e-05
TESS_18_0,All,4037.19,4035.7237240000004,0.0007548832710035954
TESS_18_0,All,4037.19,4035.823724,-0.004393932193979837
TESS_18_0,All,4037.19,4035.923724,0.002186046897372506
TESS_18_0,All,4037.19,4036.7237239999995,-0.003545316957310109
TESS_18_0,All,4037.19,4036.823723999999,0.0035163453320748413
TESS_18_0,All,4037.19,4036.9237239999993,-0.015516975663959164
TESS_18_0,All,4037.19,4038.6237239999973,-0.0033049328345439166
TESS_18_0,All,4037.19,4038.7237239999977,-0.004904849984981499
TESS_18_0,All,4037.19,4038.823723999997,0.0018824893677091342
TESS_18_0,All,4037.19,4038.9237239999975,0.0032862641245709617
TESS_18_0,All,4037.19,4039.6237239999964,-0.002865923134445711
TESS_18_0,All,4037.19,4039.7237239999968,-0.0002900145679776691
TESS_18_0,All,4037.19,4039.823723999996,0.002155210293859918
TESS_18_0,All,4064.77,4064.7661319999997,-0.0010906091482461024
TESS_18_0,All,4094.64,4093.5668100000003,0.0012856802619217885
TESS_18_0,All,4094.64,4093.6668099999997,0.0013828070369240792
TESS_18_0,All,4094.64,4093.76681,-0.0016794119005212388
TESS_18_0,All,4094.64,4093.8668099999995,0.0009361190466942206
TESS_18_0,All,4094.64,4094.5668099999994,0.0013855224814746053
TESS_18_0,All,4094.64,4094.666809999999,0.0012712834364856328
TESS_18_0,All,4094.64,4094.766809999999,-0.0014717189089968209
TESS_18_0,All,4094.64,4094.8668099999986,-0.0074319177213465005
TESS_18_0,All,4094.64,4095.5668099999984,0.0011599694802362655
TESS_18_0,All,4094.64,4095.666809999998,-0.0028428613091575914
TESS_18_0,All,4094.64,4095.7668099999983,0.0018442391444714525
TESS_18_0,All,4094.64,4095.8668099999977,-0.0026059637341113036
TESS_18_0,All,4207.68,4206.534332,0.00025088808772570523
TESS_18_0,All,4207.68,4206.6343320000005,0.0015382867111143365
TESS_18_0,All,4207.68,4207.534332000004,-0.0002807457062573064
TESS_18_0,All,4207.68,4207.634332000004,0.001137563703877743
TESS_18_0,All,4207.68,4208.434332000007,0.03057974227506255
TESS_18_0,All,4207.68,4208.534332000007,0.0003123237178448126
TESS_18_0,All,4207.68,4208.634332000008,-0.0037693852690349615
TESS_18_0,All,4233.6,4226.523676,-0.001477821658391306
TESS_18_0,All,4233.6,4226.623676,-0.009548411997388713
TESS_18_0,All,4233.6,4227.523676000003,-0.0016419888292913173
TESS_18_0,All,4233.6,4228.423676000007,-0.007834927886854973
TESS_18_0,All,4233.6,4228.523676000007,-0.004647050468646987
TESS_18_0,All,4233.6,4229.42367600001,0.0005709417728825838
TESS_18_0,All,4233.6,4229.523676000011,0.00028063845801969465
